Sample Rate (Hz),6400
Sample Index,Time (s),ADC Value
1261,0.197031,1543
1262,0.197187,263
1263,0.197344,2056
1264,0.197500,1287
1265,0.197656,2311
1266,0.197813,3080
1267,0.197969,776
1268,0.198125,2312
1269,0.198281,3336
1270,0.198437,2823
1271,0.198594,3079
1272,0.198750,2311
1273,0.198906,2312
1274,0.199063,2312
1275,0.199219,776
1276,0.199375,2822
1277,0.199531,1799
1278,0.199687,1288
1279,0.199844,2311
1280,0.200000,3079
1281,0.200156,2056
1282,0.200313,1799
1283,0.200469,2056
1284,0.200625,1287
1285,0.200781,2311
1286,0.200937,2824
1287,0.201094,3079
1288,0.201250,1031
1289,0.201406,1288
1290,0.201563,2055
1291,0.201719,1287
1292,0.201875,1032
1293,0.202031,3079
1294,0.202187,2055
1295,0.202344,2311
1296,0.202500,1287
1297,0.202656,1288
1298,0.202813,3336
1299,0.202969,1032
1300,0.203125,1288
1301,0.203281,1800
1302,0.203437,1798
1303,0.203594,3847
1304,0.203750,3848
1305,0.203906,1287
1306,0.204063,263
1307,0.204219,2055
1308,0.204375,3079
1309,0.204531,2312
1310,0.204687,3334
1311,0.204844,1031
1312,0.205000,1288
1313,0.205156,2312
1314,0.205313,2311
1315,0.205469,1543
1316,0.205625,3335
1317,0.205781,2824
1318,0.205937,1288
1319,0.206094,1031
1320,0.206250,1288
1321,0.206406,2056
1322,0.206563,2311
1323,0.206719,775
1324,0.206875,3079
1325,0.207031,2055
1326,0.207187,1544
1327,0.207344,3336
1328,0.207500,2312
1329,0.207656,263
1330,0.207813,3335
1331,0.207969,2312
1332,0.208125,2055
1333,0.208281,1800
1334,0.208437,1032
1335,0.208594,1032
1336,0.208750,3848
1337,0.208906,1032
1338,0.209063,1287
1339,0.209219,2823
1340,0.209375,2823
1341,0.209531,1032
1342,0.209687,2311
1343,0.209844,775
1344,0.210000,1544
1345,0.210156,2824
1346,0.210313,1287
1347,0.210469,3080
1348,0.210625,3335
1349,0.210781,2311
1350,0.210938,3080
1351,0.211094,3336
1352,0.211250,2823
